cputime iteration reward accum_reward mean_reward q0 alpha gamma epsilon points_me points_opp
1.0440e-03 0.0000e+00 -1.0000e-03 -1.0000e-03 -1.0000e-03 0.0000e+00 4.0000e-01 1.0000e+00 9.0000e-01 0 0
1.0014e-01 1.0000e+03 -1.0000e-03 -7.8890e+00 -7.8880e-03 0.0000e+00 4.0000e-01 1.0000e+00 9.0000e-01 2 9
1.9310e-01 2.0000e+03 -1.0000e-03 -1.2479e+01 -4.5900e-03 -6.3332e-04 3.9999e-01 1.0000e+00 9.0000e-01 3 14
2.8620e-01 3.0000e+03 -1.0000e-03 -2.2268e+01 -9.7890e-03 -6.1655e-04 3.9999e-01 1.0000e+00 9.0000e-01 3 23
3.8030e-01 4.0000e+03 -1.0000e-03 -2.5062e+01 -2.7940e-03 0.0000e+00 3.9998e-01 1.0000e+00 9.0000e-01 4 26
4.7314e-01 5.0000e+03 -1.0000e-03 -3.3852e+01 -8.7900e-03 -1.9999e-04 3.9998e-01 1.0000e+00 9.0000e-01 4 34
5.7116e-01 6.0000e+03 -1.0000e-03 -4.2539e+01 -8.6870e-03 -7.4995e-04 3.9998e-01 1.0000e+00 9.0000e-01 5 43
6.6351e-01 7.0000e+03 -1.0000e-03 -5.4427e+01 -1.1888e-02 0.0000e+00 3.9997e-01 1.0000e+00 9.0000e-01 5 54
7.5705e-01 8.0000e+03 -1.0000e-03 -5.8018e+01 -3.5910e-03 -6.6748e-04 3.9997e-01 1.0000e+00 9.0000e-01 6 58
8.5042e-01 9.0000e+03 -1.0000e-03 -6.2606e+01 -4.5880e-03 0.0000e+00 3.9996e-01 1.0000e+00 9.0000e-01 8 64
9.4283e-01 1.0000e+04 -1.0000e-03 -6.8298e+01 -5.6920e-03 -1.2537e-03 3.9996e-01 1.0000e+00 9.0000e-01 8 69
1.0391e+00 1.1000e+04 -1.0000e-03 -7.3788e+01 -5.4900e-03 -9.9032e-04 3.9996e-01 1.0000e+00 9.0000e-01 8 74
1.1324e+00 1.2000e+04 -1.0000e-03 -8.5575e+01 -1.1787e-02 -1.0721e-03 3.9995e-01 1.0000e+00 9.0000e-01 8 85
1.2260e+00 1.3000e+04 -1.0000e-03 -9.7362e+01 -1.1787e-02 -9.4319e-04 3.9995e-01 1.0000e+00 9.0000e-01 8 96
1.3194e+00 1.4000e+04 -1.0000e-03 -1.0405e+02 -6.6870e-03 -4.3328e-04 3.9994e-01 1.0000e+00 9.0000e-01 10 104
1.4136e+00 1.5000e+04 -1.0000e-03 -1.0864e+02 -4.5920e-03 -8.0832e-04 3.9994e-01 1.0000e+00 9.0000e-01 10 108
1.5103e+00 1.6000e+04 -1.0000e-03 -1.2043e+02 -1.1787e-02 -1.3235e-03 3.9994e-01 1.0000e+00 9.0000e-01 10 119
1.6048e+00 1.7000e+04 -1.0000e-03 -1.2502e+02 -4.5920e-03 -4.3326e-04 3.9993e-01 1.0000e+00 9.0000e-01 10 123
1.6981e+00 1.8000e+04 -1.0000e-03 -1.3471e+02 -9.6880e-03 -6.1040e-04 3.9993e-01 1.0000e+00 9.0000e-01 10 132
1.7913e+00 1.9000e+04 -1.0000e-03 -1.3740e+02 -2.6930e-03 -1.4946e-03 3.9992e-01 1.0000e+00 9.0000e-01 11 135
1.8850e+00 2.0000e+04 -1.0000e-03 -1.4189e+02 -4.4910e-03 0.0000e+00 3.9992e-01 1.0000e+00 9.0000e-01 11 139
1.9816e+00 2.1000e+04 -1.0000e-03 -1.4968e+02 -7.7890e-03 0.0000e+00 3.9992e-01 1.0000e+00 9.0000e-01 12 147
