cputime iteration reward accum_reward mean_reward q0 alpha gamma epsilon points_me points_opp
1.2740e-03 0.0000e+00 -1.0000e-03 -1.0000e-03 -1.0000e-03 0.0000e+00 4.0000e-01 1.0000e+00 0.0000e+00 0 0
1.5611e-01 1.0000e+03 -1.0000e-03 -1.6930e+00 -1.6920e-03 0.0000e+00 4.0000e-01 1.0000e+00 0.0000e+00 2 3
3.0585e-01 2.0000e+03 -1.0000e-03 -1.0382e+01 -8.6890e-03 -1.2800e-03 3.9999e-01 1.0000e+00 0.0000e+00 2 11
4.5067e-01 3.0000e+03 -1.0000e-03 -1.3975e+01 -3.5930e-03 -7.9998e-04 3.9999e-01 1.0000e+00 0.0000e+00 2 14
5.9860e-01 4.0000e+03 -1.0000e-03 -1.7665e+01 -3.6900e-03 -1.2000e-03 3.9998e-01 1.0000e+00 0.0000e+00 4 19
7.4518e-01 5.0000e+03 -1.0000e-03 -2.4356e+01 -6.6910e-03 -3.9998e-04 3.9998e-01 1.0000e+00 0.0000e+00 4 25
8.9930e-01 6.0000e+03 -1.0000e-03 -2.7846e+01 -3.4900e-03 0.0000e+00 3.9998e-01 1.0000e+00 0.0000e+00 5 29
1.0443e+00 7.0000e+03 -1.0000e-03 -3.7534e+01 -9.6880e-03 -1.5999e-03 3.9997e-01 1.0000e+00 0.0000e+00 5 38
1.1898e+00 8.0000e+03 -1.0000e-03 -4.2427e+01 -4.8930e-03 -1.9998e-03 3.9997e-01 1.0000e+00 0.0000e+00 6 43
1.3361e+00 9.0000e+03 -1.0000e-03 -4.6222e+01 -3.7950e-03 -7.9993e-04 3.9996e-01 1.0000e+00 0.0000e+00 6 46
1.4812e+00 1.0000e+04 -1.0000e-03 -5.2015e+01 -5.7930e-03 -3.9996e-04 3.9996e-01 1.0000e+00 0.0000e+00 6 51
1.6265e+00 1.1000e+04 -1.0000e-03 -6.1804e+01 -9.7890e-03 -2.7997e-03 3.9996e-01 1.0000e+00 0.0000e+00 6 60
1.7730e+00 1.2000e+04 -1.0000e-03 -6.6596e+01 -4.7920e-03 0.0000e+00 3.9995e-01 1.0000e+00 0.0000e+00 7 65
1.9192e+00 1.3000e+04 -1.0000e-03 -7.1186e+01 -4.5900e-03 -3.6074e-03 3.9995e-01 1.0000e+00 0.0000e+00 8 70
2.0646e+00 1.4000e+04 -1.0000e-03 -8.1873e+01 -1.0687e-02 -1.6159e-03 3.9994e-01 1.0000e+00 0.0000e+00 8 80
2.2111e+00 1.5000e+04 -1.0000e-03 -8.6663e+01 -4.7900e-03 -5.0032e-03 3.9994e-01 1.0000e+00 0.0000e+00 10 86
2.3613e+00 1.6000e+04 -1.0000e-03 -8.9354e+01 -2.6910e-03 -1.1998e-03 3.9994e-01 1.0000e+00 0.0000e+00 12 90
2.5065e+00 1.7000e+04 -1.0000e-03 -9.4045e+01 -4.6910e-03 -1.5997e-03 3.9993e-01 1.0000e+00 0.0000e+00 13 95
2.6540e+00 1.8000e+04 1.0000e-01 -9.5535e+01 -1.4900e-03 0.0000e+00 3.9993e-01 1.0000e+00 0.0000e+00 15 98
2.8000e+00 1.9000e+04 -1.0000e-03 -9.8331e+01 -2.7960e-03 -4.6238e-03 3.9992e-01 1.0000e+00 0.0000e+00 15 100
2.9473e+00 2.0000e+04 -1.0000e-03 -1.0402e+02 -5.6920e-03 -2.6397e-03 3.9992e-01 1.0000e+00 0.0000e+00 15 105
3.0934e+00 2.1000e+04 -1.0000e-03 -1.0671e+02 -2.6910e-03 -7.9983e-04 3.9992e-01 1.0000e+00 0.0000e+00 17 109
3.2384e+00 2.2000e+04 -1.0000e-03 -1.1231e+02 -5.5910e-03 -1.5996e-03 3.9991e-01 1.0000e+00 0.0000e+00 17 114
3.3845e+00 2.3000e+04 -1.0000e-03 -1.2409e+02 -1.1787e-02 -1.1997e-03 3.9991e-01 1.0000e+00 0.0000e+00 17 125
3.5300e+00 2.4000e+04 -1.0000e-03 -1.2558e+02 -1.4920e-03 -3.5993e-03 3.9990e-01 1.0000e+00 0.0000e+00 18 127
3.6756e+00 2.5000e+04 -1.0000e-03 -1.3018e+02 -4.5920e-03 -3.9990e-04 3.9990e-01 1.0000e+00 0.0000e+00 18 131
3.8210e+00 2.6000e+04 -1.0000e-03 -1.3577e+02 -5.5910e-03 -2.7995e-03 3.9990e-01 1.0000e+00 0.0000e+00 18 136
