cputime iteration reward accum_reward mean_reward q0 alpha gamma epsilon points_me points_opp
1.1360e-03 0.0000e+00 -1.0000e-03 -1.0000e-03 -1.0000e-03 0.0000e+00 4.0000e-01 1.0000e+00 0.0000e+00 0 0
1.5080e-01 1.0000e+03 -1.0000e-03 -6.7910e+00 -6.7900e-03 -2.7200e-03 4.0000e-01 1.0000e+00 0.0000e+00 1 7
2.9980e-01 2.0000e+03 -1.0000e-03 -1.6479e+01 -9.6880e-03 -2.4000e-03 3.9999e-01 1.0000e+00 0.0000e+00 1 16
4.4958e-01 3.0000e+03 -1.0000e-03 -2.0272e+01 -3.7930e-03 -3.5999e-03 3.9999e-01 1.0000e+00 0.0000e+00 2 20
6.0265e-01 4.0000e+03 -1.0000e-03 -3.3159e+01 -1.2887e-02 -3.9199e-03 3.9998e-01 1.0000e+00 0.0000e+00 2 32
7.5551e-01 5.0000e+03 -1.0000e-03 -4.1848e+01 -8.6890e-03 -1.5999e-03 3.9998e-01 1.0000e+00 0.0000e+00 2 40
9.0879e-01 6.0000e+03 -1.0000e-03 -5.1637e+01 -9.7890e-03 1.4191e-02 3.9998e-01 1.0000e+00 0.0000e+00 2 49
1.0620e+00 7.0000e+03 -1.0000e-03 -5.4130e+01 -2.4930e-03 0.0000e+00 3.9997e-01 1.0000e+00 0.0000e+00 2 51
1.2118e+00 8.0000e+03 -1.0000e-03 -6.4817e+01 -1.0687e-02 -1.2799e-03 3.9997e-01 1.0000e+00 0.0000e+00 2 61
1.3649e+00 9.0000e+03 -1.0000e-03 -7.0507e+01 -5.6900e-03 -2.7998e-03 3.9996e-01 1.0000e+00 0.0000e+00 3 67
1.5168e+00 1.0000e+04 -1.0000e-03 -7.2998e+01 -2.4910e-03 0.0000e+00 3.9996e-01 1.0000e+00 0.0000e+00 4 70
1.6675e+00 1.1000e+04 -1.0000e-03 -8.0686e+01 -7.6880e-03 -1.5591e-02 3.9996e-01 1.0000e+00 0.0000e+00 5 78
1.8180e+00 1.2000e+04 -1.0000e-03 -9.0475e+01 -9.7890e-03 -2.4798e-03 3.9995e-01 1.0000e+00 0.0000e+00 5 87
1.9677e+00 1.3000e+04 -1.0000e-03 -9.7065e+01 -6.5900e-03 -4.6398e-03 3.9995e-01 1.0000e+00 0.0000e+00 5 93
2.1194e+00 1.4000e+04 -1.0000e-03 -1.0176e+02 -4.6910e-03 -7.9989e-04 3.9994e-01 1.0000e+00 0.0000e+00 6 98
2.2767e+00 1.5000e+04 -1.0000e-03 -1.0944e+02 -7.6880e-03 -6.6181e-03 3.9994e-01 1.0000e+00 0.0000e+00 7 106
2.4327e+00 1.6000e+04 -1.0000e-03 -1.1513e+02 -5.6900e-03 -1.1999e-03 3.9994e-01 1.0000e+00 0.0000e+00 8 112
2.5864e+00 1.7000e+04 -1.0000e-03 -1.1983e+02 -4.6910e-03 1.5218e-02 3.9993e-01 1.0000e+00 0.0000e+00 9 117
2.7408e+00 1.8000e+04 -1.0000e-03 -1.2442e+02 -4.5900e-03 -6.7599e-03 3.9993e-01 1.0000e+00 0.0000e+00 10 122
2.8898e+00 1.9000e+04 -1.0000e-03 -1.3011e+02 -5.6900e-03 -2.3995e-03 3.9992e-01 1.0000e+00 0.0000e+00 11 128
3.0391e+00 2.0000e+04 -1.0000e-03 -1.3690e+02 -6.7920e-03 -5.3137e-01 3.9992e-01 1.0000e+00 0.0000e+00 11 134
3.1901e+00 2.1000e+04 -1.0000e-03 -1.4249e+02 -5.5910e-03 -8.4091e-02 3.9992e-01 1.0000e+00 0.0000e+00 11 139
3.3400e+00 2.2000e+04 -1.0000e-03 -1.5228e+02 -9.7870e-03 -1.6424e-02 3.9991e-01 1.0000e+00 0.0000e+00 12 149
3.4992e+00 2.3000e+04 -1.0000e-03 -1.6007e+02 -7.7910e-03 -5.4654e-03 3.9991e-01 1.0000e+00 0.0000e+00 12 156
3.6578e+00 2.4000e+04 -1.0000e-03 -1.6776e+02 -7.6900e-03 -1.1997e-03 3.9990e-01 1.0000e+00 0.0000e+00 12 163
3.8055e+00 2.5000e+04 -1.0000e-03 -1.7844e+02 -1.0687e-02 0.0000e+00 3.9990e-01 1.0000e+00 0.0000e+00 12 173
3.9603e+00 2.6000e+04 -1.0000e-03 -1.8203e+02 -3.5910e-03 -4.8791e-03 3.9990e-01 1.0000e+00 0.0000e+00 13 177
4.1081e+00 2.7000e+04 -1.0000e-03 -1.9292e+02 -1.0887e-02 -7.5938e-03 3.9989e-01 1.0000e+00 0.0000e+00 14 188
4.2554e+00 2.8000e+04 -1.0000e-03 -2.0781e+02 -1.4885e-02 -2.4796e-03 3.9989e-01 1.0000e+00 0.0000e+00 14 202
4.4077e+00 2.9000e+04 -1.0000e-03 -2.1350e+02 -5.6900e-03 -1.9994e-03 3.9988e-01 1.0000e+00 0.0000e+00 15 208
4.5610e+00 3.0000e+04 -1.0000e-03 -2.1709e+02 -3.5910e-03 -7.9976e-04 3.9988e-01 1.0000e+00 0.0000e+00 16 212
4.7088e+00 3.1000e+04 -1.0000e-03 -2.1678e+02 3.0600e-04 -3.9846e-03 3.9988e-01 1.0000e+00 0.0000e+00 18 213
4.8570e+00 3.2000e+04 -1.0000e-03 -2.2447e+02 -7.6880e-03 -9.9533e-03 3.9987e-01 1.0000e+00 0.0000e+00 19 221
5.0053e+00 3.3000e+04 -1.0000e-03 -2.3116e+02 -6.6910e-03 -5.9981e-03 3.9987e-01 1.0000e+00 0.0000e+00 19 227
5.1534e+00 3.4000e+04 -1.0000e-03 -2.3775e+02 -6.5900e-03 -3.9994e-03 3.9986e-01 1.0000e+00 0.0000e+00 19 233
5.3017e+00 3.5000e+04 -1.0000e-03 -2.3945e+02 -1.6960e-03 -3.9986e-03 3.9986e-01 1.0000e+00 0.0000e+00 19 234
5.4511e+00 3.6000e+04 -1.0000e-03 -2.4714e+02 -7.6900e-03 -1.3544e-01 3.9986e-01 1.0000e+00 0.0000e+00 19 241
5.6000e+00 3.7000e+04 -1.0000e-03 -2.4873e+02 -1.5910e-03 -1.5994e-03 3.9985e-01 1.0000e+00 0.0000e+00 21 244
5.7490e+00 3.8000e+04 -1.0000e-03 -2.4832e+02 4.0500e-04 -8.3464e-03 3.9985e-01 1.0000e+00 0.0000e+00 22 244
5.8988e+00 3.9000e+04 -1.0000e-03 -2.5491e+02 -6.5900e-03 -6.7184e-03 3.9984e-01 1.0000e+00 0.0000e+00 22 250
6.0479e+00 4.0000e+04 -1.0000e-03 -2.6160e+02 -6.6910e-03 -2.1670e-02 3.9984e-01 1.0000e+00 0.0000e+00 22 256
6.1983e+00 4.1000e+04 -1.0000e-03 -2.6729e+02 -5.6880e-03 -9.3839e-03 3.9984e-01 1.0000e+00 0.0000e+00 24 263
6.3490e+00 4.2000e+04 -1.0000e-03 -2.7188e+02 -4.5920e-03 1.2835e-01 3.9983e-01 1.0000e+00 0.0000e+00 24 267
6.4994e+00 4.3000e+04 -1.0000e-03 -2.8057e+02 -8.6890e-03 -1.1670e-02 3.9983e-01 1.0000e+00 0.0000e+00 24 275
6.6620e+00 4.4000e+04 -1.0000e-03 -2.9136e+02 -1.0788e-02 -9.9334e-03 3.9982e-01 1.0000e+00 0.0000e+00 24 285
6.8226e+00 4.5000e+04 -1.0000e-03 -2.9805e+02 -6.6910e-03 -1.2797e-03 3.9982e-01 1.0000e+00 0.0000e+00 24 291
6.9710e+00 4.6000e+04 -1.0000e-03 -3.0484e+02 -6.7880e-03 -4.4426e-02 3.9982e-01 1.0000e+00 0.0000e+00 26 299
7.1241e+00 4.7000e+04 -1.0000e-03 -3.0633e+02 -1.4920e-03 -3.9981e-04 3.9981e-01 1.0000e+00 0.0000e+00 27 301
7.2775e+00 4.8000e+04 -1.0000e-03 -3.0512e+02 1.2060e-03 -1.6660e-01 3.9981e-01 1.0000e+00 0.0000e+00 30 302
7.4269e+00 4.9000e+04 -1.0000e-03 -3.0662e+02 -1.4920e-03 0.0000e+00 3.9980e-01 1.0000e+00 0.0000e+00 31 304
7.5842e+00 5.0000e+04 -1.0000e-03 -3.1131e+02 -4.6930e-03 -3.9980e-04 3.9980e-01 1.0000e+00 0.0000e+00 31 308
7.7321e+00 5.1000e+04 -1.0000e-03 -3.1900e+02 -7.6900e-03 -1.0114e-01 3.9980e-01 1.0000e+00 0.0000e+00 31 315
7.9253e+00 5.2000e+04 -1.0000e-03 -3.2129e+02 -2.2910e-03 -6.3514e-03 3.9979e-01 1.0000e+00 0.0000e+00 31 317
8.1241e+00 5.3000e+04 -1.0000e-03 -3.2488e+02 -3.5910e-03 -7.6826e-01 3.9979e-01 1.0000e+00 0.0000e+00 32 321
8.3006e+00 5.4000e+04 -1.0000e-03 -3.2947e+02 -4.5920e-03 -1.9997e-03 3.9978e-01 1.0000e+00 0.0000e+00 32 325
8.4567e+00 5.5000e+04 -1.0000e-03 -3.3627e+02 -6.7920e-03 -3.9978e-04 3.9978e-01 1.0000e+00 0.0000e+00 32 331
8.6055e+00 5.6000e+04 -1.0000e-03 -3.3786e+02 -1.5930e-03 -2.3606e-01 3.9978e-01 1.0000e+00 0.0000e+00 33 333
8.7550e+00 5.7000e+04 -1.0000e-03 -3.4555e+02 -7.6900e-03 1.9318e-03 3.9977e-01 1.0000e+00 0.0000e+00 33 340
8.9049e+00 5.8000e+04 -1.0000e-03 -3.5524e+02 -9.6880e-03 -1.7380e-02 3.9977e-01 1.0000e+00 0.0000e+00 33 349
9.0552e+00 5.9000e+04 -1.0000e-03 -3.5883e+02 -3.5910e-03 -6.7299e-03 3.9976e-01 1.0000e+00 0.0000e+00 34 353
9.2060e+00 6.0000e+04 -1.0000e-03 -3.6242e+02 -3.5930e-03 -6.6984e-03 3.9976e-01 1.0000e+00 0.0000e+00 34 356
9.3569e+00 6.1000e+04 -1.0000e-03 -3.7021e+02 -7.7910e-03 -9.7979e-02 3.9976e-01 1.0000e+00 0.0000e+00 34 363
9.5201e+00 6.2000e+04 -1.0000e-03 -3.7580e+02 -5.5910e-03 -8.0779e-03 3.9975e-01 1.0000e+00 0.0000e+00 34 368
9.6689e+00 6.3000e+04 -1.0000e-03 -3.8349e+02 -7.6900e-03 -8.7082e-03 3.9975e-01 1.0000e+00 0.0000e+00 34 375
9.8316e+00 6.4000e+04 -1.0000e-03 -3.8818e+02 -4.6910e-03 -5.5972e-03 3.9974e-01 1.0000e+00 0.0000e+00 35 380
9.9813e+00 6.5000e+04 -1.0000e-03 -3.9687e+02 -8.6890e-03 -4.7345e-02 3.9974e-01 1.0000e+00 0.0000e+00 35 388
1.0131e+01 6.6000e+04 -1.0000e-03 -4.0136e+02 -4.4910e-03 0.0000e+00 3.9974e-01 1.0000e+00 0.0000e+00 35 392
1.0281e+01 6.7000e+04 -1.0000e-03 -4.0506e+02 -3.6920e-03 -5.3209e-03 3.9973e-01 1.0000e+00 0.0000e+00 36 396
1.0430e+01 6.8000e+04 -1.0000e-03 -4.0875e+02 -3.6920e-03 -1.2319e-03 3.9973e-01 1.0000e+00 0.0000e+00 37 400
1.0579e+01 6.9000e+04 -1.0000e-03 -4.1144e+02 -2.6930e-03 -6.0844e-03 3.9972e-01 1.0000e+00 0.0000e+00 38 403
1.0728e+01 7.0000e+04 -1.0000e-03 -4.1703e+02 -5.5910e-03 -1.3400e-03 3.9972e-01 1.0000e+00 0.0000e+00 38 408
1.0891e+01 7.1000e+04 -1.0000e-03 -4.2472e+02 -7.6900e-03 -1.1991e-03 3.9972e-01 1.0000e+00 0.0000e+00 38 415
1.1070e+01 7.2000e+04 -1.0000e-03 -4.3031e+02 -5.5910e-03 -1.0422e-02 3.9971e-01 1.0000e+00 0.0000e+00 38 420
1.1248e+01 7.3000e+04 -1.0000e-03 -4.3000e+02 3.0800e-04 -1.9992e-03 3.9971e-01 1.0000e+00 0.0000e+00 41 422
1.1431e+01 7.4000e+04 -1.0000e-03 -4.3470e+02 -4.6930e-03 -3.6785e-03 3.9970e-01 1.0000e+00 0.0000e+00 41 426
1.1620e+01 7.5000e+04 -1.0000e-03 -4.4139e+02 -6.6910e-03 -4.0147e-02 3.9970e-01 1.0000e+00 0.0000e+00 41 432
1.1813e+01 7.6000e+04 -1.0000e-03 -4.4598e+02 -4.5920e-03 -7.3830e-01 3.9970e-01 1.0000e+00 0.0000e+00 41 436
1.1964e+01 7.7000e+04 -1.0000e-03 -4.5257e+02 -6.5900e-03 -1.4621e-01 3.9969e-01 1.0000e+00 0.0000e+00 41 442
1.2114e+01 7.8000e+04 -1.0000e-03 -4.5616e+02 -3.5890e-03 -3.3189e-01 3.9969e-01 1.0000e+00 0.0000e+00 43 447
1.2289e+01 7.9000e+04 -1.0000e-03 -4.5775e+02 -1.5930e-03 -5.9976e-03 3.9968e-01 1.0000e+00 0.0000e+00 44 449
1.2473e+01 8.0000e+04 -1.0000e-03 -4.6444e+02 -6.6910e-03 -1.8850e-01 3.9968e-01 1.0000e+00 0.0000e+00 44 455
1.2643e+01 8.1000e+04 -1.0000e-03 -4.6683e+02 -2.3900e-03 -1.0091e-01 3.9968e-01 1.0000e+00 0.0000e+00 45 458
1.2793e+01 8.2000e+04 -1.0000e-03 -4.7452e+02 -7.6900e-03 -4.4133e-01 3.9967e-01 1.0000e+00 0.0000e+00 45 465
1.2942e+01 8.3000e+04 -1.0000e-03 -4.7712e+02 -2.5920e-03 -2.1970e-02 3.9967e-01 1.0000e+00 0.0000e+00 46 468
