cputime iteration reward accum_reward mean_reward q0 alpha gamma epsilon points_me points_opp
1.1680e-03 0.0000e+00 -1.0000e-03 -1.0000e-03 -1.0000e-03 0.0000e+00 4.0000e-01 1.0000e+00 1.0000e+00 0 0
1.6761e-01 1.0000e+03 -1.0000e-03 -8.8900e+00 -8.8890e-03 0.0000e+00 4.0000e-01 1.0000e+00 9.9955e-01 1 9
3.3370e-01 2.0000e+03 -1.0000e-03 -1.1686e+01 -2.7960e-03 -1.2000e-03 3.9999e-01 1.0000e+00 9.9910e-01 1 11
5.0009e-01 3.0000e+03 -1.0000e-03 -1.9477e+01 -7.7910e-03 -3.9999e-04 3.9999e-01 1.0000e+00 9.9865e-01 1 18
6.6893e-01 4.0000e+03 -1.0000e-03 -2.3169e+01 -3.6920e-03 -3.9998e-04 3.9998e-01 1.0000e+00 9.9820e-01 2 22
8.3606e-01 5.0000e+03 -1.0000e-03 -3.0859e+01 -7.6900e-03 -1.1999e-03 3.9998e-01 1.0000e+00 9.9775e-01 2 29
1.0027e+00 6.0000e+03 -1.0000e-03 -3.9548e+01 -8.6890e-03 -2.8529e-03 3.9998e-01 1.0000e+00 9.9730e-01 2 37
1.1784e+00 7.0000e+03 -1.0000e-03 -4.3240e+01 -3.6920e-03 -1.0399e-03 3.9997e-01 1.0000e+00 9.9685e-01 3 41
1.3457e+00 8.0000e+03 -1.0000e-03 -5.3029e+01 -9.7890e-03 -4.8382e-03 3.9997e-01 1.0000e+00 9.9640e-01 3 50
1.5118e+00 9.0000e+03 -1.0000e-03 -6.0719e+01 -7.6900e-03 -3.9996e-04 3.9996e-01 1.0000e+00 9.9595e-01 3 57
1.6776e+00 1.0000e+04 -1.0000e-03 -6.6310e+01 -5.5910e-03 -1.5199e-03 3.9996e-01 1.0000e+00 9.9550e-01 3 62
1.8454e+00 1.1000e+04 -1.0000e-03 -7.1901e+01 -5.5910e-03 -1.1999e-03 3.9996e-01 1.0000e+00 9.9505e-01 3 67
2.0118e+00 1.2000e+04 -1.0000e-03 -8.0588e+01 -8.6870e-03 -1.8302e-03 3.9995e-01 1.0000e+00 9.9460e-01 4 76
2.1796e+00 1.3000e+04 -1.0000e-03 -8.6280e+01 -5.6920e-03 0.0000e+00 3.9995e-01 1.0000e+00 9.9415e-01 4 81
2.3457e+00 1.4000e+04 -1.0000e-03 -9.1068e+01 -4.7880e-03 -5.5395e-03 3.9994e-01 1.0000e+00 9.9370e-01 7 88
2.5189e+00 1.5000e+04 -1.0000e-03 -9.6657e+01 -5.5890e-03 -5.0376e-03 3.9994e-01 1.0000e+00 9.9325e-01 8 94
