cputime iteration reward accum_reward mean_reward q0 alpha gamma epsilon points_me points_opp
9.5502e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 9.9995e-01 0 0
5.2543e+00 1.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 9.4995e-01 1 6
9.5094e+00 2.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 8.9995e-01 1 19
1.3783e+01 3.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 8.4995e-01 1 33
1.8077e+01 4.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 7.9995e-01 1 40
2.2339e+01 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 7.4995e-01 1 46
2.6649e+01 6.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 6.9995e-01 1 56
3.0917e+01 7.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 6.4995e-01 1 58
3.5213e+01 8.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 5.9995e-01 3 65
3.9468e+01 9.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 5.4995e-01 3 72
4.3657e+01 1.0000e+04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 4.9995e-01 3 80
4.7980e+01 1.1000e+04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 4.4995e-01 5 87
5.2237e+01 1.2000e+04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 3.9995e-01 6 90
5.6598e+01 1.3000e+04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 3.4995e-01 6 104
6.0908e+01 1.4000e+04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 2.9995e-01 7 106
6.5228e+01 1.5000e+04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 2.4995e-01 7 114
6.9496e+01 1.6000e+04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 1.9995e-01 8 122
7.3783e+01 1.7000e+04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 1.4995e-01 8 132
7.8032e+01 1.8000e+04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 1.0000e-01 8 141
8.2382e+01 1.9000e+04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 1.0000e-01 10 145
8.6696e+01 2.0000e+04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 1.0000e-01 10 160
9.0997e+01 2.1000e+04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 1.0000e-01 10 169
9.5309e+01 2.2000e+04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 1.0000e-01 11 177
9.9654e+01 2.3000e+04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 1.0000e-01 11 193
1.0399e+02 2.4000e+04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 1.0000e-01 11 203
