cputime iteration reward accum_reward mean_reward q0 alpha gamma epsilon points_me points_opp
9.4700e-04 0.0000e+00 -1.0000e-03 -1.0000e-03 -1.0000e-03 0.0000e+00 4.0000e-01 1.0000e+00 9.0000e-01 0 0
9.3879e-02 1.0000e+03 -1.0000e-03 -7.7900e+00 -7.7890e-03 -4.0666e-04 4.0000e-01 1.0000e+00 9.0000e-01 1 8
1.8652e-01 2.0000e+03 -1.0000e-03 -1.4479e+01 -6.6890e-03 -3.7600e-04 3.9999e-01 1.0000e+00 9.0000e-01 2 15
2.7894e-01 3.0000e+03 -1.0000e-03 -2.6266e+01 -1.1787e-02 -1.1485e-03 3.9999e-01 1.0000e+00 9.0000e-01 2 26
3.7096e-01 4.0000e+03 -1.0000e-03 -3.5954e+01 -9.6880e-03 -5.1331e-04 3.9998e-01 1.0000e+00 9.0000e-01 2 35
4.6341e-01 5.0000e+03 -1.0000e-03 -4.6742e+01 -1.0788e-02 6.0546e-03 3.9998e-01 1.0000e+00 4.6674e-07 2 45
5.5625e-01 6.0000e+03 -1.0000e-03 -4.8234e+01 -1.4920e-03 -7.2855e-04 3.9998e-01 1.0000e+00 9.0000e-01 3 47
6.4905e-01 7.0000e+03 -1.0000e-03 -5.6025e+01 -7.7910e-03 -3.2126e-03 3.9997e-01 1.0000e+00 9.0000e-01 3 54
7.4166e-01 8.0000e+03 -1.0000e-03 -6.1715e+01 -5.6900e-03 -1.9998e-04 3.9997e-01 1.0000e+00 9.0000e-01 4 60
8.3464e-01 9.0000e+03 -1.0000e-03 -6.9405e+01 -7.6900e-03 -4.7947e-02 3.9996e-01 1.0000e+00 9.0000e-01 4 67
9.2716e-01 1.0000e+04 -1.0000e-03 -7.4994e+01 -5.5890e-03 -8.8657e-04 3.9996e-01 1.0000e+00 9.0000e-01 5 73
1.0211e+00 1.1000e+04 -1.0000e-03 -7.7687e+01 -2.6930e-03 -1.1485e-03 3.9996e-01 1.0000e+00 9.0000e-01 6 76
1.1131e+00 1.2000e+04 -1.0000e-03 -8.7375e+01 -9.6880e-03 -3.0663e-04 3.9995e-01 1.0000e+00 9.0000e-01 6 85
1.2048e+00 1.3000e+04 -1.0000e-03 -9.3067e+01 -5.6920e-03 -4.5604e-04 3.9995e-01 1.0000e+00 9.0000e-01 6 90
1.2969e+00 1.4000e+04 -1.0000e-03 -9.7760e+01 -4.6930e-03 -8.3850e-04 3.9994e-01 1.0000e+00 9.0000e-01 6 94
1.3884e+00 1.5000e+04 -1.0000e-03 -1.1474e+02 -1.6984e-02 -1.0595e-03 3.9994e-01 1.0000e+00 9.0000e-01 6 110
1.4804e+00 1.6000e+04 -1.0000e-03 -1.2653e+02 -1.1787e-02 -1.0106e-03 3.9994e-01 1.0000e+00 9.0000e-01 6 121
1.5727e+00 1.7000e+04 -1.0000e-03 -1.3222e+02 -5.6920e-03 0.0000e+00 3.9993e-01 1.0000e+00 9.0000e-01 6 126
1.6652e+00 1.8000e+04 -1.0000e-03 -1.3581e+02 -3.5910e-03 -8.6722e-04 3.9993e-01 1.0000e+00 9.0000e-01 7 130
1.7571e+00 1.9000e+04 -1.0000e-03 -1.4450e+02 -8.6890e-03 0.0000e+00 3.9992e-01 1.0000e+00 9.0000e-01 7 138
1.8493e+00 2.0000e+04 -1.0000e-03 -1.5219e+02 -7.6900e-03 -8.7770e-04 3.9992e-01 1.0000e+00 9.0000e-01 7 145
1.9412e+00 2.1000e+04 -1.0000e-03 -1.5978e+02 -7.5890e-03 -6.8700e-04 3.9992e-01 1.0000e+00 9.0000e-01 7 152
2.0339e+00 2.2000e+04 -1.0000e-03 -1.7157e+02 -1.1787e-02 -1.1560e-03 3.9991e-01 1.0000e+00 9.0000e-01 7 163
2.1258e+00 2.3000e+04 -1.0000e-03 -1.7836e+02 -6.7920e-03 -5.1322e-04 3.9991e-01 1.0000e+00 9.0000e-01 7 169
2.2178e+00 2.4000e+04 -1.0000e-03 -1.8405e+02 -5.6920e-03 -7.8435e-04 3.9990e-01 1.0000e+00 9.0000e-01 7 174
2.3096e+00 2.5000e+04 -1.0000e-03 -1.9085e+02 -6.7920e-03 -1.0384e-03 3.9990e-01 1.0000e+00 9.0000e-01 7 180
2.4013e+00 2.6000e+04 -1.0000e-03 -1.9874e+02 -7.8920e-03 -1.4654e-03 3.9990e-01 1.0000e+00 9.0000e-01 7 187
2.4927e+00 2.7000e+04 -1.0000e-03 -2.0243e+02 -3.6900e-03 -6.8654e-04 3.9989e-01 1.0000e+00 9.0000e-01 9 192
2.5843e+00 2.8000e+04 -1.0000e-03 -2.1431e+02 -1.1886e-02 -1.3125e-03 3.9989e-01 1.0000e+00 9.0000e-01 10 204
2.6773e+00 2.9000e+04 -1.0000e-03 -2.2400e+02 -9.6880e-03 -6.2563e-04 3.9988e-01 1.0000e+00 9.0000e-01 10 213
2.7702e+00 3.0000e+04 -1.0000e-03 -2.2969e+02 -5.6920e-03 -1.6948e-03 3.9988e-01 1.0000e+00 9.0000e-01 10 218
2.8628e+00 3.1000e+04 -1.0000e-03 -2.3438e+02 -4.6910e-03 -9.7689e-02 3.9988e-01 1.0000e+00 9.0000e-01 11 223
2.9552e+00 3.2000e+04 -1.0000e-03 -2.4507e+02 -1.0687e-02 -6.7407e-04 3.9987e-01 1.0000e+00 9.0000e-01 11 233
3.0473e+00 3.3000e+04 -1.0000e-03 -2.5376e+02 -8.6890e-03 -9.9096e-04 3.9987e-01 1.0000e+00 9.0000e-01 11 241
3.1386e+00 3.4000e+04 -1.0000e-03 -2.5445e+02 -6.9100e-04 -9.4980e-04 3.9986e-01 1.0000e+00 9.0000e-01 14 244
3.2301e+00 3.5000e+04 -1.0000e-03 -2.6424e+02 -9.7890e-03 -1.1636e-03 3.9986e-01 1.0000e+00 9.0000e-01 14 253
3.3226e+00 3.6000e+04 -1.0000e-03 -2.6973e+02 -5.4900e-03 -5.3120e-04 3.9986e-01 1.0000e+00 9.0000e-01 14 258
3.4140e+00 3.7000e+04 -1.0000e-03 -2.7132e+02 -1.5930e-03 -1.9993e-04 3.9985e-01 1.0000e+00 9.0000e-01 15 260
3.5051e+00 3.8000e+04 -1.0000e-03 -2.7412e+02 -2.7940e-03 -1.2331e-03 3.9985e-01 1.0000e+00 9.0000e-01 16 263
3.5974e+00 3.9000e+04 -1.0000e-03 -2.8800e+02 -1.3886e-02 -6.7815e-04 3.9984e-01 1.0000e+00 9.0000e-01 16 276
3.6899e+00 4.0000e+04 -1.0000e-03 -2.9579e+02 -7.7890e-03 -8.9875e-04 3.9984e-01 1.0000e+00 9.0000e-01 17 284
3.7825e+00 4.1000e+04 -1.0000e-03 -3.0038e+02 -4.5880e-03 -6.9633e-04 3.9984e-01 1.0000e+00 9.0000e-01 19 290
3.8745e+00 4.2000e+04 -1.0000e-03 -3.0107e+02 -6.9300e-04 -3.0655e-04 3.9983e-01 1.0000e+00 9.0000e-01 21 292
3.9664e+00 4.3000e+04 -1.0000e-03 -3.0687e+02 -5.7930e-03 -1.2310e-03 3.9983e-01 1.0000e+00 9.0000e-01 21 297
4.0577e+00 4.4000e+04 -1.0000e-03 -3.1675e+02 -9.8880e-03 -7.5579e-04 3.9982e-01 1.0000e+00 9.0000e-01 22 307
4.1492e+00 4.5000e+04 -1.0000e-03 -3.1725e+02 -4.9300e-04 -1.3881e-03 3.9982e-01 1.0000e+00 9.0000e-01 23 308
4.2405e+00 4.6000e+04 -1.0000e-03 -3.2284e+02 -5.5910e-03 -1.6275e-03 3.9982e-01 1.0000e+00 9.0000e-01 23 313
4.3326e+00 4.7000e+04 -1.0000e-03 -3.2753e+02 -4.6910e-03 7.4254e-03 3.9981e-01 1.0000e+00 5.7270e-08 24 318
4.4243e+00 4.8000e+04 -1.0000e-03 -3.3012e+02 -2.5940e-03 0.0000e+00 3.9981e-01 1.0000e+00 9.0000e-01 24 320
4.5162e+00 4.9000e+04 -1.0000e-03 -3.4101e+02 -1.0887e-02 -1.4738e-03 3.9980e-01 1.0000e+00 9.0000e-01 25 331
4.6085e+00 5.0000e+04 -1.0000e-03 -3.4670e+02 -5.6900e-03 -4.0544e-03 3.9980e-01 1.0000e+00 9.0000e-01 26 337
4.7017e+00 5.1000e+04 -1.0000e-03 -3.5539e+02 -8.6890e-03 -7.2999e-04 3.9980e-01 1.0000e+00 9.0000e-01 26 345
4.7944e+00 5.2000e+04 -1.0000e-03 -3.5908e+02 -3.6920e-03 -7.8588e-03 3.9979e-01 1.0000e+00 9.0000e-01 27 349
4.8871e+00 5.3000e+04 -1.0000e-03 -3.6887e+02 -9.7870e-03 6.1508e-04 3.9979e-01 1.0000e+00 4.2821e-08 28 359
4.9792e+00 5.4000e+04 -1.0000e-03 -3.7136e+02 -2.4910e-03 -1.9989e-04 3.9978e-01 1.0000e+00 9.0000e-01 29 362
5.0709e+00 5.5000e+04 -1.0000e-03 -3.8115e+02 -9.7890e-03 -1.1154e-03 3.9978e-01 1.0000e+00 9.0000e-01 29 371
5.1625e+00 5.6000e+04 -1.0000e-03 -3.8474e+02 -3.5930e-03 -3.3315e-04 3.9978e-01 1.0000e+00 9.0000e-01 29 374
5.2538e+00 5.7000e+04 -1.0000e-03 -3.8843e+02 -3.6920e-03 -1.0892e-03 3.9977e-01 1.0000e+00 9.0000e-01 30 378
5.3450e+00 5.8000e+04 -1.0000e-03 -3.9812e+02 -9.6880e-03 -9.4580e-04 3.9977e-01 1.0000e+00 9.0000e-01 30 387
5.4361e+00 5.9000e+04 -1.0000e-03 -4.0891e+02 -1.0788e-02 -8.6615e-04 3.9976e-01 1.0000e+00 9.0000e-01 30 397
5.5282e+00 6.0000e+04 -1.0000e-03 -4.1660e+02 -7.6900e-03 -1.7098e-03 3.9976e-01 1.0000e+00 9.0000e-01 30 404
5.6213e+00 6.1000e+04 -1.0000e-03 -4.2429e+02 -7.6900e-03 -6.1874e-04 3.9976e-01 1.0000e+00 9.0000e-01 30 411
5.7131e+00 6.2000e+04 -1.0000e-03 -4.3288e+02 -8.5880e-03 -1.2559e-03 3.9975e-01 1.0000e+00 9.0000e-01 30 419
5.8050e+00 6.3000e+04 -1.0000e-03 -4.3757e+02 -4.6910e-03 -6.7317e-04 3.9975e-01 1.0000e+00 9.0000e-01 31 424
5.8965e+00 6.4000e+04 -1.0000e-03 -4.4726e+02 -9.6880e-03 -8.0481e-04 3.9974e-01 1.0000e+00 9.0000e-01 31 433
5.9877e+00 6.5000e+04 -1.0000e-03 -4.5195e+02 -4.6930e-03 -8.6213e-02 3.9974e-01 1.0000e+00 9.0000e-01 31 437
6.0793e+00 6.6000e+04 -1.0000e-03 -4.5964e+02 -7.6900e-03 -5.9666e-04 3.9974e-01 1.0000e+00 9.0000e-01 31 444
6.1712e+00 6.7000e+04 -1.0000e-03 -4.6623e+02 -6.5900e-03 -9.5437e-04 3.9973e-01 1.0000e+00 9.0000e-01 31 450
6.2625e+00 6.8000e+04 -1.0000e-03 -4.7192e+02 -5.6900e-03 -1.8037e-03 3.9973e-01 1.0000e+00 9.0000e-01 32 456
6.3537e+00 6.9000e+04 -1.0000e-03 -4.8061e+02 -8.6890e-03 -7.6521e-04 3.9972e-01 1.0000e+00 9.0000e-01 32 464
6.4450e+00 7.0000e+04 -1.0000e-03 -4.9129e+02 -1.0687e-02 -1.2314e-03 3.9972e-01 1.0000e+00 9.0000e-01 32 474
6.5367e+00 7.1000e+04 -1.0000e-03 -5.0108e+02 -9.7890e-03 -1.1019e-02 3.9972e-01 1.0000e+00 9.0000e-01 32 483
6.6291e+00 7.2000e+04 -1.0000e-03 -5.0967e+02 -8.5880e-03 -1.7417e-03 3.9971e-01 1.0000e+00 9.0000e-01 32 491
