cputime iteration reward accum_reward mean_reward q0 alpha gamma epsilon points_me points_opp
8.9900e-04 0.0000e+00 -1.0000e-03 -1.0000e-03 -1.0000e-03 0.0000e+00 4.0000e-01 1.0000e+00 9.0000e-01 0 0
9.2216e-02 1.0000e+03 -1.0000e-03 -6.7910e+00 -6.7900e-03 -7.7163e-04 4.0000e-01 1.0000e+00 9.0000e-01 1 7
1.8248e-01 2.0000e+03 -1.0000e-03 -1.4481e+01 -7.6900e-03 -2.0000e-04 3.9999e-01 1.0000e+00 9.0000e-01 1 14
2.7179e-01 3.0000e+03 -1.0000e-03 -2.1071e+01 -6.5900e-03 0.0000e+00 3.9999e-01 1.0000e+00 9.0000e-01 1 20
3.6030e-01 4.0000e+03 -1.0000e-03 -2.5762e+01 -4.6910e-03 -6.5245e-04 3.9998e-01 1.0000e+00 9.0000e-01 2 25
4.4832e-01 5.0000e+03 -1.0000e-03 -3.5551e+01 -9.7890e-03 -3.7598e-04 3.9998e-01 1.0000e+00 9.0000e-01 2 34
5.3638e-01 6.0000e+03 -1.0000e-03 -4.3239e+01 -7.6880e-03 -8.0071e-04 3.9998e-01 1.0000e+00 9.0000e-01 3 42
6.2397e-01 7.0000e+03 -1.0000e-03 -5.3026e+01 -9.7870e-03 -6.9733e-04 3.9997e-01 1.0000e+00 9.0000e-01 4 52
7.1127e-01 8.0000e+03 -1.0000e-03 -6.0716e+01 -7.6900e-03 -3.3227e-02 3.9997e-01 1.0000e+00 9.0000e-01 4 59
7.9867e-01 9.0000e+03 -1.0000e-03 -7.0404e+01 -9.6880e-03 -1.1857e-03 3.9996e-01 1.0000e+00 9.0000e-01 4 68
8.8725e-01 1.0000e+04 -1.0000e-03 -7.9093e+01 -8.6890e-03 -5.0287e-04 3.9996e-01 1.0000e+00 9.0000e-01 4 76
9.7614e-01 1.1000e+04 -1.0000e-03 -8.2785e+01 -3.6920e-03 -6.8707e-04 3.9996e-01 1.0000e+00 9.0000e-01 5 80
1.0648e+00 1.2000e+04 -1.0000e-03 -8.5577e+01 -2.7920e-03 -1.0302e-03 3.9995e-01 1.0000e+00 9.0000e-01 7 84
1.1541e+00 1.3000e+04 -1.0000e-03 -9.4266e+01 -8.6890e-03 -8.7300e-04 3.9995e-01 1.0000e+00 9.0000e-01 7 92
1.2435e+00 1.4000e+04 -1.0000e-03 -1.0306e+02 -8.7900e-03 -5.1384e-02 3.9994e-01 1.0000e+00 9.0000e-01 7 100
1.3329e+00 1.5000e+04 -1.0000e-03 -1.1074e+02 -7.6880e-03 -6.9155e-04 3.9994e-01 1.0000e+00 9.0000e-01 8 108
1.4217e+00 1.6000e+04 -1.0000e-03 -1.1333e+02 -2.5900e-03 -1.2219e-03 3.9994e-01 1.0000e+00 9.0000e-01 10 112
1.5101e+00 1.7000e+04 -1.0000e-03 -1.2422e+02 -1.0889e-02 -1.2397e-03 3.9993e-01 1.0000e+00 9.0000e-01 10 122
1.5982e+00 1.8000e+04 -1.0000e-03 -1.3601e+02 -1.1787e-02 -4.1993e-04 3.9993e-01 1.0000e+00 9.0000e-01 10 133
1.6863e+00 1.9000e+04 -1.0000e-03 -1.3781e+02 -1.7970e-03 -1.9996e-04 3.9992e-01 1.0000e+00 9.0000e-01 10 134
1.7742e+00 2.0000e+04 -1.0000e-03 -1.4340e+02 -5.5910e-03 -8.0366e-04 3.9992e-01 1.0000e+00 9.0000e-01 10 139
1.8639e+00 2.1000e+04 -1.0000e-03 -1.5209e+02 -8.6890e-03 -7.4603e-04 3.9992e-01 1.0000e+00 9.0000e-01 10 147
1.9523e+00 2.2000e+04 -1.0000e-03 -1.5868e+02 -6.5900e-03 -4.8071e-04 3.9991e-01 1.0000e+00 9.0000e-01 10 153
2.0407e+00 2.3000e+04 -1.0000e-03 -1.6637e+02 -7.6900e-03 -1.0988e-03 3.9991e-01 1.0000e+00 9.0000e-01 10 160
2.1293e+00 2.4000e+04 -1.0000e-03 -1.7286e+02 -6.4890e-03 -6.8445e-04 3.9990e-01 1.0000e+00 9.0000e-01 10 166
2.2184e+00 2.5000e+04 -1.0000e-03 -1.8174e+02 -8.8870e-03 -3.3325e-04 3.9990e-01 1.0000e+00 9.0000e-01 12 176
2.3070e+00 2.6000e+04 -1.0000e-03 -1.9053e+02 -8.7880e-03 -1.0219e-03 3.9990e-01 1.0000e+00 9.0000e-01 13 185
2.3953e+00 2.7000e+04 -1.0000e-03 -2.0132e+02 -1.0788e-02 -1.2169e-03 3.9989e-01 1.0000e+00 9.0000e-01 13 195
2.4835e+00 2.8000e+04 -1.0000e-03 -2.1521e+02 -1.3886e-02 -1.4107e-03 3.9989e-01 1.0000e+00 9.0000e-01 13 208
2.5710e+00 2.9000e+04 -1.0000e-03 -2.2389e+02 -8.6870e-03 -1.4591e-03 3.9988e-01 1.0000e+00 9.0000e-01 14 217
2.6583e+00 3.0000e+04 -1.0000e-03 -2.2858e+02 -4.6910e-03 -6.6067e-04 3.9988e-01 1.0000e+00 9.0000e-01 15 222
2.7463e+00 3.1000e+04 -1.0000e-03 -2.3318e+02 -4.5920e-03 -6.8232e-04 3.9988e-01 1.0000e+00 9.0000e-01 15 226
2.8343e+00 3.2000e+04 -1.0000e-03 -2.3787e+02 -4.6910e-03 7.6785e-04 3.9987e-01 1.0000e+00 3.1187e-07 16 231
2.9226e+00 3.3000e+04 -1.0000e-03 -2.4465e+02 -6.7880e-03 -8.1321e-04 3.9987e-01 1.0000e+00 9.0000e-01 18 239
3.0105e+00 3.4000e+04 -1.0000e-03 -2.5544e+02 -1.0788e-02 -4.4890e-02 3.9986e-01 1.0000e+00 9.0000e-01 18 249
3.1008e+00 3.5000e+04 -1.0000e-03 -2.6003e+02 -4.5900e-03 -9.0328e-04 3.9986e-01 1.0000e+00 9.0000e-01 19 254
3.1901e+00 3.6000e+04 -1.0000e-03 -2.7082e+02 -1.0788e-02 -1.1917e-03 3.9986e-01 1.0000e+00 9.0000e-01 19 264
3.2782e+00 3.7000e+04 -1.0000e-03 -2.7851e+02 -7.6900e-03 -1.8940e-03 3.9985e-01 1.0000e+00 9.0000e-01 19 271
3.3668e+00 3.8000e+04 -1.0000e-03 -2.8330e+02 -4.7900e-03 -1.8115e-03 3.9985e-01 1.0000e+00 9.0000e-01 21 277
3.4550e+00 3.9000e+04 -1.0000e-03 -2.8689e+02 -3.5910e-03 -9.6754e-04 3.9984e-01 1.0000e+00 9.0000e-01 22 281
3.5424e+00 4.0000e+04 -1.0000e-03 -2.9278e+02 -5.8940e-03 -8.8526e-02 3.9984e-01 1.0000e+00 9.0000e-01 22 286
3.6309e+00 4.1000e+04 -1.0000e-03 -2.9638e+02 -3.5910e-03 -1.0284e-03 3.9984e-01 1.0000e+00 9.0000e-01 23 290
3.7185e+00 4.2000e+04 -1.0000e-03 -3.0207e+02 -5.6920e-03 -3.3319e-04 3.9983e-01 1.0000e+00 9.0000e-01 23 295
3.8065e+00 4.3000e+04 -1.0000e-03 -3.0676e+02 -4.6910e-03 -1.0439e-03 3.9983e-01 1.0000e+00 9.0000e-01 24 300
3.8989e+00 4.4000e+04 -1.0000e-03 -3.1145e+02 -4.6910e-03 -1.2181e-03 3.9982e-01 1.0000e+00 9.0000e-01 25 305
3.9918e+00 4.5000e+04 -1.0000e-03 -3.1594e+02 -4.4910e-03 0.0000e+00 3.9982e-01 1.0000e+00 9.0000e-01 25 309
4.0856e+00 4.6000e+04 -1.0000e-03 -3.1774e+02 -1.7970e-03 -1.7320e-03 3.9982e-01 1.0000e+00 9.0000e-01 25 310
4.1742e+00 4.7000e+04 -1.0000e-03 -3.2253e+02 -4.7920e-03 1.6547e-02 3.9981e-01 1.0000e+00 4.4381e-07 26 315
4.2625e+00 4.8000e+04 -1.0000e-03 -3.3122e+02 -8.6890e-03 -5.6781e-04 3.9981e-01 1.0000e+00 9.0000e-01 26 323
4.3507e+00 4.9000e+04 -1.0000e-03 -3.3791e+02 -6.6910e-03 -2.0706e-03 3.9980e-01 1.0000e+00 9.0000e-01 26 329
4.4385e+00 5.0000e+04 -1.0000e-03 -3.4050e+02 -2.5900e-03 -7.2864e-04 3.9980e-01 1.0000e+00 9.0000e-01 28 333
4.5275e+00 5.1000e+04 -1.0000e-03 -3.5229e+02 -1.1787e-02 -1.3219e-03 3.9980e-01 1.0000e+00 9.0000e-01 28 344
4.6158e+00 5.2000e+04 -1.0000e-03 -3.5088e+02 1.4080e-03 -8.6197e-04 3.9979e-01 1.0000e+00 9.0000e-01 31 345
4.7037e+00 5.3000e+04 -1.0000e-03 -3.5957e+02 -8.6890e-03 -9.1688e-04 3.9979e-01 1.0000e+00 9.0000e-01 31 353
4.7910e+00 5.4000e+04 -1.0000e-03 -3.6026e+02 -6.9300e-04 -1.0319e-02 3.9978e-01 1.0000e+00 9.0000e-01 33 355
4.8797e+00 5.5000e+04 -1.0000e-03 -3.6795e+02 -7.6880e-03 -1.2766e-03 3.9978e-01 1.0000e+00 9.0000e-01 34 363
4.9697e+00 5.6000e+04 -1.0000e-03 -3.7454e+02 -6.5900e-03 0.0000e+00 3.9978e-01 1.0000e+00 9.0000e-01 34 369
5.0587e+00 5.7000e+04 -1.0000e-03 -3.8023e+02 -5.6920e-03 1.7559e-02 3.9977e-01 1.0000e+00 3.7149e-07 34 374
5.1484e+00 5.8000e+04 -1.0000e-03 -3.9611e+02 -1.5884e-02 -1.0988e-03 3.9977e-01 1.0000e+00 9.0000e-01 34 389
5.2372e+00 5.9000e+04 -1.0000e-03 -4.0171e+02 -5.5910e-03 -1.3495e-03 3.9976e-01 1.0000e+00 9.0000e-01 34 394
5.3254e+00 6.0000e+04 -1.0000e-03 -4.0130e+02 4.0900e-04 -1.1095e-03 3.9976e-01 1.0000e+00 9.0000e-01 37 396
5.4139e+00 6.1000e+04 -1.0000e-03 -4.1618e+02 -1.4885e-02 -1.1233e-03 3.9976e-01 1.0000e+00 9.0000e-01 37 410
5.5017e+00 6.2000e+04 -1.0000e-03 -4.2297e+02 -6.7900e-03 -1.5897e-02 3.9975e-01 1.0000e+00 9.0000e-01 38 417
5.5892e+00 6.3000e+04 -1.0000e-03 -4.3166e+02 -8.6890e-03 -1.6558e-03 3.9975e-01 1.0000e+00 9.0000e-01 38 425
5.6765e+00 6.4000e+04 -1.0000e-03 -4.3825e+02 -6.5900e-03 -1.8310e-03 3.9974e-01 1.0000e+00 9.0000e-01 38 431
5.7635e+00 6.5000e+04 -1.0000e-03 -4.4794e+02 -9.6860e-03 -1.0479e-03 3.9974e-01 1.0000e+00 9.0000e-01 39 441
5.8521e+00 6.6000e+04 -1.0000e-03 -4.4953e+02 -1.5910e-03 -1.2086e-03 3.9974e-01 1.0000e+00 9.0000e-01 41 444
5.9402e+00 6.7000e+04 -1.0000e-03 -4.5732e+02 -7.7910e-03 -1.9987e-04 3.9973e-01 1.0000e+00 9.0000e-01 41 451
6.0286e+00 6.8000e+04 -1.0000e-03 -4.5991e+02 -2.5900e-03 1.0020e-03 3.9973e-01 1.0000e+00 1.4200e-07 43 455
6.1167e+00 6.9000e+04 -1.0000e-03 -4.6770e+02 -7.7890e-03 -1.1748e-03 3.9972e-01 1.0000e+00 9.0000e-01 44 463
6.2050e+00 7.0000e+04 -1.0000e-03 -4.7838e+02 -1.0687e-02 -1.2305e-03 3.9972e-01 1.0000e+00 9.0000e-01 44 473
6.2933e+00 7.1000e+04 -1.0000e-03 -4.8208e+02 -3.6940e-03 -1.1324e-03 3.9972e-01 1.0000e+00 9.0000e-01 44 476
6.3810e+00 7.2000e+04 -1.0000e-03 -4.8777e+02 -5.6920e-03 -1.6856e-03 3.9971e-01 1.0000e+00 9.0000e-01 44 481
6.4690e+00 7.3000e+04 -1.0000e-03 -4.9866e+02 -1.0887e-02 -1.3868e-03 3.9971e-01 1.0000e+00 9.0000e-01 45 492
6.5564e+00 7.4000e+04 -1.0000e-03 -5.1054e+02 -1.1886e-02 -9.8859e-02 3.9970e-01 1.0000e+00 9.0000e-01 46 504
6.6436e+00 7.5000e+04 -1.0000e-03 -5.1523e+02 -4.6890e-03 -1.2953e-03 3.9970e-01 1.0000e+00 9.0000e-01 48 510
6.7315e+00 7.6000e+04 -1.0000e-03 -5.2602e+02 -1.0788e-02 -1.5434e-01 3.9970e-01 1.0000e+00 9.0000e-01 48 520
6.8192e+00 7.7000e+04 -1.0000e-03 -5.3481e+02 -8.7880e-03 -1.4337e-03 3.9969e-01 1.0000e+00 9.0000e-01 49 529
6.9067e+00 7.8000e+04 -1.0000e-03 -5.3940e+02 -4.5880e-03 0.0000e+00 3.9969e-01 1.0000e+00 9.0000e-01 51 535
6.9948e+00 7.9000e+04 -1.0000e-03 -5.4299e+02 -3.5910e-03 -1.2854e-03 3.9968e-01 1.0000e+00 9.0000e-01 52 539
7.0831e+00 8.0000e+04 -1.0000e-03 -5.5078e+02 -7.7910e-03 -2.7830e-03 3.9968e-01 1.0000e+00 9.0000e-01 52 546
7.1729e+00 8.1000e+04 -1.0000e-03 -5.5737e+02 -6.5900e-03 -1.3969e-03 3.9968e-01 1.0000e+00 9.0000e-01 52 552
7.2616e+00 8.2000e+04 -1.0000e-03 -5.6196e+02 -4.5920e-03 -1.7629e-03 3.9967e-01 1.0000e+00 9.0000e-01 52 556
7.3500e+00 8.3000e+04 -1.0000e-03 -5.7255e+02 -1.0586e-02 0.0000e+00 3.9967e-01 1.0000e+00 9.0000e-01 52 566
7.4380e+00 8.4000e+04 -1.0000e-03 -5.7345e+02 -8.9900e-04 -4.3297e-04 3.9966e-01 1.0000e+00 9.0000e-01 52 566
7.5264e+00 8.5000e+04 -1.0000e-03 -5.7934e+02 -5.8920e-03 -2.3133e-02 3.9966e-01 1.0000e+00 9.0000e-01 53 572
7.6153e+00 8.6000e+04 -1.0000e-03 -5.8813e+02 -8.7900e-03 -1.4896e-03 3.9966e-01 1.0000e+00 9.0000e-01 53 580
7.7036e+00 8.7000e+04 -1.0000e-03 -5.9272e+02 -4.5900e-03 -8.4095e-04 3.9965e-01 1.0000e+00 9.0000e-01 54 585
7.7915e+00 8.8000e+04 -1.0000e-03 -5.9741e+02 -4.6910e-03 -1.8784e-03 3.9965e-01 1.0000e+00 9.0000e-01 55 590
7.8802e+00 8.9000e+04 -1.0000e-03 -6.1129e+02 -1.3886e-02 -9.6853e-02 3.9964e-01 1.0000e+00 9.0000e-01 55 603
7.9684e+00 9.0000e+04 -1.0000e-03 -6.1698e+02 -5.6900e-03 -2.9551e-04 3.9964e-01 1.0000e+00 9.0000e-01 56 609
8.0567e+00 9.1000e+04 -1.0000e-03 -6.1757e+02 -5.9000e-04 -5.4438e-04 3.9964e-01 1.0000e+00 9.0000e-01 59 612
8.1445e+00 9.2000e+04 -1.0000e-03 -6.2946e+02 -1.1888e-02 -1.5168e-01 3.9963e-01 1.0000e+00 9.0000e-01 59 623
8.2318e+00 9.3000e+04 -1.0000e-03 -6.3515e+02 -5.6900e-03 -1.8783e-03 3.9963e-01 1.0000e+00 9.0000e-01 60 629
8.3188e+00 9.4000e+04 -1.0000e-03 -6.4194e+02 -6.7900e-03 -1.6205e-03 3.9962e-01 1.0000e+00 9.0000e-01 61 636
8.4063e+00 9.5000e+04 -1.0000e-03 -6.5073e+02 -8.7900e-03 -1.1231e-03 3.9962e-01 1.0000e+00 9.0000e-01 61 644
8.4967e+00 9.6000e+04 -1.0000e-03 -6.5453e+02 -3.7930e-03 -1.3029e-03 3.9962e-01 1.0000e+00 9.0000e-01 62 648
8.5849e+00 9.7000e+04 -1.0000e-03 -6.6112e+02 -6.5900e-03 -1.6285e-03 3.9961e-01 1.0000e+00 9.0000e-01 62 654
8.6730e+00 9.8000e+04 -1.0000e-03 -6.6701e+02 -5.8900e-03 -7.5231e-04 3.9961e-01 1.0000e+00 9.0000e-01 64 661
8.7602e+00 9.9000e+04 -1.0000e-03 -6.7889e+02 -1.1888e-02 -1.6147e-02 3.9960e-01 1.0000e+00 9.0000e-01 64 672
8.8483e+00 1.0000e+05 -1.0000e-03 -6.8758e+02 -8.6890e-03 -1.8950e-03 3.9960e-01 1.0000e+00 9.0000e-01 64 680
8.9367e+00 1.0100e+05 -1.0000e-03 -6.9537e+02 -7.7890e-03 -1.4159e-03 3.9960e-01 1.0000e+00 9.0000e-01 65 688
9.0248e+00 1.0200e+05 -1.0000e-03 -7.0306e+02 -7.6900e-03 0.0000e+00 3.9959e-01 1.0000e+00 9.0000e-01 65 695
9.1130e+00 1.0300e+05 -1.0000e-03 -7.0396e+02 -8.9900e-04 -7.3353e-04 3.9959e-01 1.0000e+00 9.0000e-01 65 695
9.2006e+00 1.0400e+05 -1.0000e-03 -7.0765e+02 -3.6920e-03 -9.2386e-03 3.9958e-01 1.0000e+00 9.0000e-01 66 699
