cputime iteration reward accum_reward mean_reward q0 alpha gamma epsilon points_me points_opp
6.6408e+00 3.9000e+04 -1.0000e-03 -2.9080e+02 -6.7920e-03 1.2538e-02 4.9981e-01 1.0000e+00 9.8245e-01 17 280
6.8068e+00 4.0000e+04 -1.0000e-03 -2.9539e+02 -4.5900e-03 -2.1064e-03 4.9980e-01 1.0000e+00 9.8200e-01 18 285
6.9807e+00 4.1000e+04 -1.0000e-03 -3.0108e+02 -5.6920e-03 2.4214e-02 4.9980e-01 1.0000e+00 9.8155e-01 18 290
7.1585e+00 4.2000e+04 -1.0000e-03 -3.1596e+02 -1.4885e-02 3.8078e-02 4.9979e-01 1.0000e+00 9.8110e-01 18 304
7.3251e+00 4.3000e+04 -1.0000e-03 -3.2155e+02 -5.5910e-03 -2.8059e-03 4.9979e-01 1.0000e+00 9.8065e-01 18 309
7.4927e+00 4.4000e+04 -1.0000e-03 -3.3014e+02 -8.5880e-03 -9.7272e-03 4.9978e-01 1.0000e+00 9.8020e-01 18 317
7.6593e+00 4.5000e+04 -1.0000e-03 -3.3783e+02 -7.6900e-03 -1.9996e-03 4.9978e-01 1.0000e+00 9.7975e-01 18 324
7.8265e+00 4.6000e+04 -1.0000e-03 -3.4552e+02 -7.6880e-03 -8.0375e-03 4.9977e-01 1.0000e+00 9.7930e-01 19 332
7.9936e+00 4.7000e+04 -1.0000e-03 -3.5321e+02 -7.6880e-03 -2.5067e-03 4.9977e-01 1.0000e+00 9.7885e-01 20 340
8.1761e+00 4.8000e+04 -1.0000e-03 -3.5790e+02 -4.6930e-03 0.0000e+00 4.9976e-01 1.0000e+00 9.7840e-01 20 344
8.3422e+00 4.9000e+04 -1.0000e-03 -3.6769e+02 -9.7890e-03 6.9955e-02 4.9976e-01 1.0000e+00 9.7795e-01 20 353
8.5087e+00 5.0000e+04 -1.0000e-03 -3.7438e+02 -6.6910e-03 9.5102e-02 4.9975e-01 1.0000e+00 9.7750e-01 20 359
8.6808e+00 5.1000e+04 -1.0000e-03 -3.8007e+02 -5.6920e-03 0.0000e+00 4.9975e-01 1.0000e+00 9.7705e-01 20 364
8.8468e+00 5.2000e+04 -1.0000e-03 -3.8896e+02 -8.8910e-03 -4.2955e-03 4.9974e-01 1.0000e+00 9.7660e-01 20 372
9.0139e+00 5.3000e+04 -1.0000e-03 -3.9565e+02 -6.6890e-03 -1.2844e-02 4.9974e-01 1.0000e+00 9.7615e-01 21 379
9.1807e+00 5.4000e+04 -1.0000e-03 -4.0444e+02 -8.7900e-03 2.3554e-02 4.9973e-01 1.0000e+00 9.7570e-01 21 387
9.3466e+00 5.5000e+04 -1.0000e-03 -4.1303e+02 -8.5880e-03 -6.6163e-03 4.9973e-01 1.0000e+00 9.7525e-01 21 395
9.5131e+00 5.6000e+04 -1.0000e-03 -4.1672e+02 -3.6920e-03 -1.1245e-03 4.9972e-01 1.0000e+00 9.7480e-01 22 399
9.6957e+00 5.7000e+04 -1.0000e-03 -4.1951e+02 -2.7900e-03 2.4527e-01 4.9972e-01 1.0000e+00 9.7435e-01 25 404
9.8614e+00 5.8000e+04 -1.0000e-03 -4.2231e+02 -2.7940e-03 -9.3664e-03 4.9971e-01 1.0000e+00 9.7390e-01 26 407
