cputime iteration reward accum_reward mean_reward q0 alpha gamma epsilon points_me points_opp
1.1160e-03 0.0000e+00 -1.0000e-03 -1.0000e-03 -1.0000e-03 0.0000e+00 4.0000e-01 1.0000e+00 0.0000e+00 0 0
1.5765e-01 1.0000e+03 -1.0000e-03 -6.6900e+00 -6.6890e-03 -4.0000e-04 4.0000e-01 1.0000e+00 0.0000e+00 1 7
3.1371e-01 2.0000e+03 -1.0000e-03 -1.3381e+01 -6.6910e-03 -2.4000e-03 3.9999e-01 1.0000e+00 0.0000e+00 1 13
4.6969e-01 3.0000e+03 -1.0000e+00 -2.4169e+01 -1.0788e-02 -7.9998e-04 3.9999e-01 1.0000e+00 0.0000e+00 1 23
6.2600e-01 4.0000e+03 -1.0000e-03 -3.0858e+01 -6.6890e-03 -6.0190e-03 3.9998e-01 1.0000e+00 0.0000e+00 2 30
7.8249e-01 5.0000e+03 -1.0000e-03 -3.6449e+01 -5.5910e-03 -3.5998e-03 3.9998e-01 1.0000e+00 0.0000e+00 2 35
9.3980e-01 6.0000e+03 -1.0000e-03 -4.0139e+01 -3.6900e-03 0.0000e+00 3.9998e-01 1.0000e+00 0.0000e+00 4 40
1.0966e+00 7.0000e+03 -1.0000e-03 -4.6830e+01 -6.6910e-03 -1.0399e-03 3.9997e-01 1.0000e+00 0.0000e+00 4 46
1.2514e+00 8.0000e+03 -1.0000e-03 -6.0615e+01 -1.3785e-02 -1.5199e-03 3.9997e-01 1.0000e+00 0.0000e+00 4 59
1.4078e+00 9.0000e+03 -1.0000e-03 -6.8305e+01 -7.6900e-03 3.0569e-02 3.9996e-01 1.0000e+00 0.0000e+00 4 66
1.5636e+00 1.0000e+04 -1.0000e-03 -7.2897e+01 -4.5920e-03 3.3577e-02 3.9996e-01 1.0000e+00 0.0000e+00 4 70
1.7201e+00 1.1000e+04 -1.0000e-03 -7.8686e+01 -5.7890e-03 -1.9998e-03 3.9996e-01 1.0000e+00 0.0000e+00 6 77
1.8760e+00 1.2000e+04 -1.0000e-03 -7.9381e+01 -6.9500e-04 -1.9326e-03 3.9995e-01 1.0000e+00 0.0000e+00 7 78
2.0327e+00 1.3000e+04 -1.0000e-03 -8.3073e+01 -3.6920e-03 -7.9990e-04 3.9995e-01 1.0000e+00 0.0000e+00 8 82
2.1882e+00 1.4000e+04 -1.0000e-03 -8.9764e+01 -6.6910e-03 -2.3997e-03 3.9994e-01 1.0000e+00 0.0000e+00 8 88
2.3434e+00 1.5000e+04 -1.0000e-03 -9.7252e+01 -7.4880e-03 -3.9994e-04 3.9994e-01 1.0000e+00 0.0000e+00 8 95
2.4993e+00 1.6000e+04 -1.0000e-03 -1.0614e+02 -8.8890e-03 -7.1588e-03 3.9994e-01 1.0000e+00 0.0000e+00 9 104
2.6548e+00 1.7000e+04 -1.0000e-03 -1.1383e+02 -7.6900e-03 -9.2703e-03 3.9993e-01 1.0000e+00 0.0000e+00 9 111
2.8117e+00 1.8000e+04 -1.0000e-03 -1.1922e+02 -5.3890e-03 -3.9997e-03 3.9993e-01 1.0000e+00 0.0000e+00 9 116
2.9678e+00 1.9000e+04 -1.0000e-03 -1.2491e+02 -5.6920e-03 -7.3113e-04 3.9992e-01 1.0000e+00 0.0000e+00 9 121
3.1241e+00 2.0000e+04 -1.0000e-03 -1.3260e+02 -7.6900e-03 -1.4398e-03 3.9992e-01 1.0000e+00 0.0000e+00 9 128
3.2794e+00 2.1000e+04 -1.0000e-03 -1.3909e+02 -6.4890e-03 -4.1019e-03 3.9992e-01 1.0000e+00 0.0000e+00 9 134
3.4344e+00 2.2000e+04 -1.0000e-03 -1.3988e+02 -7.9200e-04 -3.0396e-03 3.9991e-01 1.0000e+00 0.0000e+00 12 137
3.5897e+00 2.3000e+04 -1.0000e-03 -1.3948e+02 4.0500e-04 0.0000e+00 3.9991e-01 1.0000e+00 0.0000e+00 13 137
3.7452e+00 2.4000e+04 -1.0000e-03 -1.4617e+02 -6.6890e-03 0.0000e+00 3.9990e-01 1.0000e+00 0.0000e+00 14 144
3.9003e+00 2.5000e+04 -1.0000e-03 -1.4976e+02 -3.5910e-03 -1.5996e-03 3.9990e-01 1.0000e+00 0.0000e+00 15 148
4.0569e+00 2.6000e+04 -1.0000e-03 -1.6045e+02 -1.0687e-02 0.0000e+00 3.9990e-01 1.0000e+00 0.0000e+00 15 158
4.2121e+00 2.7000e+04 -1.0000e-03 -1.6823e+02 -7.7890e-03 3.8988e-03 3.9989e-01 1.0000e+00 0.0000e+00 16 166
4.3686e+00 2.8000e+04 -1.0000e-03 -1.7063e+02 -2.3920e-03 1.2272e-02 3.9989e-01 1.0000e+00 0.0000e+00 16 168
4.5243e+00 2.9000e+04 -1.0000e-03 -1.8042e+02 -9.7890e-03 -4.4796e-03 3.9988e-01 1.0000e+00 0.0000e+00 16 177
